First Key Code	Second Key Code		Fly Time		First Key Dwell Time		Second Key Dwel Time
540		300			11				7				15
70		270			60				8				7
310		80			28				7				8
570		110			27				7				8
270		771			29				7				11
260		180			14				7				8
721		480			88				2				9
300		40			22				15				8
330		510			11				8				8
60		580			23				8				7
510		540			89				8				7
320		751			31				6				14
90		60			20				8				8
170		390			15				9				7
180		310			14				8				7
400		801			36				7				9
290		40			21				10				8
180		300			15				8				15
80		430			25				8				7
360		70			28				7				8
80		20			19				8				8
100		300			89				8				15
220		140			21				7				8
580		20			15				7				8
821		310			25				10				7
300		821			41				15				10
50		70			15				8				8
200		470			14				7				13
200		360			12				7				7
330		300			15				8				15
801		410			23				9				7
390		260			10				7				7
60		140			22				8				8
570		510			12				7				8
310		20			20				7				8
390		430			12				7				7
300		821			41				15				10
200		330			12				7				8
190		220			14				8				7
130		220			16				8				7
190		160			87				8				11
410		110			26				7				8
291		160			25				10				11
410		20			26				7				8
170		370			14				9				7
811		100			38				9				8
340		260			10				7				7
190		640			13				8				9
430		330			12				7				8
811		240			23				9				7
770		540			18				12				7
540		540			61				7				7
210		80			15				7				8
110		770			28				8				12
160		720			24				11				1
180		580			11				8				7
230		120			22				7				8
230		80			17				7				8
420		190			76				7				8
60		300			24				8				15
310		190			12				7				8
170		330			14				9				8
300		570			10				15				7
791		110			80				9				8
510		50			23				8				8
791		240			21				9				7
20		180			25				8				8
120		110			13				8				8
771		290			18				11				10
300		720			25				15				1
291		120			29				10				8
180		360			69				8				7
300		711			23				15				7
210		230			13				7				7
200		20			96				7				8
360		230			10				7				7
801		430			26				9				7
350		240			69				7				7
470		721			93				13				2
350		530			64				7				7
530		80			24				7				8
110		540			20				8				7
580		510			12				7				8
200		290			82				7				10
330		160			23				8				11
130		230			18				8				7
310		60			26				7				8
300		210			9				15				7
530		210			10				7				7
291		30			20				10				8
460		711			92				17				6
220		100			18				7				8
770		80			47				12				8
811		731			13				9				9
690		580			25				6				7
320		811			41				6				9
460		190			11				17				8
310		320			15				7				6
90		240			65				8				7
520		260			10				7				7
801		390			22				9				7
620		520			16				8				7
220		630			9				7				9
420		580			78				7				7
130		340			64				8				7
50		220			14				8				7
190		540			14				8				7
300		791			93				15				9
791		20			48				9				8
220		660			85				7				7
690		130			38				5				8
580		230			13				7				7
30		200			17				8				7
300		290			14				15				10
60		100			14				8				8
180		220			66				8				7
30		540			26				8				7
291		540			9				10				7
100		340			23				8				7
390		130			26				7				8
370		130			26				7				8
180		150			14				8				9
360		90			28				7				8
70		690			29				8				5
200		210			12				7				7
300		320			83				15				6
620		70			22				8				8
120		291			21				8				10
290		801			36				10				9
200		60			14				7				8
480		360			11				9				7
291		530			9				10				7
300		260			12				15				7
150		370			16				9				7
510		821			30				8				10
220		721			23				7				2
20		430			36				8				7
240		720			23				7				1
200		420			88				7				7
320		390			15				6				7
330		811			89				8				9
360		140			84				7				8
291		230			9				10				7
520		540			15				7				7
721		620			19				2				8
520		270			11				7				7
720		400			92				1				7
160		811			34				11				9
630		220			14				9				7
821		520			24				10				7
791		230			21				9				7
70		290			23				8				10
300		801			37				15				9
180		291			15				8				10
801		410			23				9				7
420		721			24				7				2
460		711			14				17				6
720		120			43				1				8
811		791			21				9				9
530		720			15				7				1
350		360			14				7				7
320		510			66				6				8
460		460			13				17				17
770		690			14				12				7
711		291			7				7				10
210		711			22				7				6
80		520			24				8				7
771		360			20				11				7
370		170			17				7				9
210		751			25				7				14
440		570			12				9				7
40		410			32				8				7
110		30			21				8				8
50		80			14				8				8
430		200			11				7				7
370		360			14				7				7
520		320			12				7				6
220		20			17				7				8
180		300			15				8				15
200		160			71				7				11
540		390			93				7				7
120		470			22				8				13
770		340			19				12				7
130		350			18				8				7
300		751			29				15				14
350		791			40				7				9
300		711			23				15				5
230		60			16				7				8
130		60			20				8				8
30		190			73				8				8
80		170			20				8				9
510		330			72				8				8
751		731			19				14				9
330		240			9				8				7
330		771			35				8				11
240		210			8				7				7
340		170			18				7				9
771		60			90				11				8
70		771			28				8				11
